party,target,period,n,median_d1,q25,q75,replicate
PR,P2,20,6,-0.311896640726061,-0.48717572749228394,-0.15155338696679688,97
PR,P3,24,6,-0.2325945388858841,-0.48699901135636525,-0.016950160867363714,97
PREP,P3,24,1,0.7986006904120286,0.7986006904120286,0.7986006904120286,97
PRI,P1,17,1,-0.727138239943761,-0.727138239943761,-0.727138239943761,97
PRI,P2,20,1,-0.7219173480197555,-0.7219173480197555,-0.7219173480197555,97
PRI,P3,24,1,-0.7149561587877473,-0.7149561587877473,-0.7149561587877473,97
PRO,P2,20,1,-0.8580279889193223,-0.8580279889193223,-0.8580279889193223,97
PRO,P3,24,1,-0.8732293885702834,-0.8732293885702834,-0.8732293885702834,97
PS,P1,17,18,-0.6452168590864136,-0.6843324691941433,-0.6146812276882961,97
PS,P2,20,18,-0.6476339473316273,-0.6830669170888859,-0.6171676643779946,97
PS,P3,24,18,-0.6500931559772445,-0.6813795142818753,-0.6199428515018789,97
RD,P1,17,8,-0.7632150209811353,-0.7702277414396792,-0.7520402478471665,97
RD,P2,20,10,-0.7562124274708433,-0.7781252970824137,-0.7478280055590616,97
RD,P3,24,10,-0.7478147523917393,-0.7791945752415269,-0.7326803622889173,97
RN,P1,17,34,0.6646209317862095,0.5979385359922578,0.7210922402358657,97
RN,P2,20,36,0.6315462081805306,0.570888358066996,0.7178654394912303,97
RN,P3,24,33,0.5741983405294574,0.4871782649917977,0.6598804391083624,97
UDI,P1,17,30,0.6881631868905856,0.6166100093059378,0.7511670185577215,97
UDI,P2,20,31,0.6775927921624731,0.6019510684916045,0.7815219794682624,97
UDI,P3,24,30,0.6766597793854263,0.5525144410283911,0.8376696642369268,97
COMUNES,P1,17,2,-0.8993241984366976,-0.9119992805498052,-0.8866491163235901,98
COMUNES,P2,20,1,-0.9046605323333292,-0.9046605323333292,-0.9046605323333292,98
COMUNES,P3,24,1,-0.8779754252272169,-0.8779754252272169,-0.8779754252272169,98
DC,P1,17,15,-0.18830777902557227,-0.32622142335700277,-0.09121415485169829,98
DC,P2,20,14,-0.1713028571336126,-0.274322382123434,-0.007690261926855244,98
DC,P3,24,14,-0.1503392288808944,-0.23683439941413442,0.09283906133617723,98
EVOP,P1,17,6,0.6664261789109638,0.6022208215259471,0.7077684443783732,98
EVOP,P2,20,6,0.6322573868468613,0.5780673735260196,0.7003692316271223,98
EVOP,P3,24,6,0.5958549915882629,0.5193054797113459,0.6651451442451712,98
FRVS,P1,17,1,-0.7532805522059313,-0.7532805522059313,-0.7532805522059313,98
FRVS,P2,20,1,-0.72564928303858,-0.72564928303858,-0.72564928303858,98
FRVS,P3,24,1,-0.6888075908154453,-0.6888075908154453,-0.6888075908154453,98
IND,P1,17,13,-0.5982307654551263,-0.8212988680969385,-0.19052212406373162,98
IND,P2,20,11,-0.5792854751994415,-0.6639764362101384,-0.11661957546167809,98
IND,P3,24,11,-0.7290424508065556,-0.8014306708203596,-0.03600730834996506,98
LIBERAL,P1,17,2,-0.6876568619564115,-0.7057239834437576,-0.6695897404690654,98
LIBERAL,P2,20,2,-0.6376651962570982,-0.6647891348090885,-0.6105412577051078,98
LIBERAL,P3,24,2,-0.5710096419913471,-0.6102093366295294,-0.5318099473531647,98
PC,P1,17,8,-0.8519142719186366,-0.86598077895814,-0.8399158118011284,98
PC,P2,20,8,-0.8541672179715321,-0.8692909602451427,-0.8413607974003889,98
PC,P3,24,8,-0.8625739971030462,-0.8786145138774766,-0.8452936929558059,98
PCS,P2,20,2,-0.8097795793737506,-0.815824602251848,-0.8037345564956532,98
PCS,P3,24,1,-0.767862468721566,-0.767862468721566,-0.767862468721566,98
PEV,P1,17,1,-0.9251248441064883,-0.9251248441064883,-0.9251248441064883,98
PEV,P2,20,1,-0.9131639647249427,-0.9131639647249427,-0.9131639647249427,98
PEV,P3,24,1,-0.8972161255495475,-0.8972161255495475,-0.8972161255495475,98
PH,P1,17,3,-0.9578152074810105,-0.9755433369981861,-0.9342320415069261,98
PH,P2,20,2,-0.9143441140769522,-0.9180225331563456,-0.9106656949975587,98
PH,P3,24,2,-0.8878268775036533,-0.9121319660049612,-0.8635217890023456,98
PPD,P1,17,6,-0.6280897747975898,-0.7093475624368646,-0.5964363732121949,98
PPD,P2,20,7,-0.6091492424440528,-0.7083924404441415,-0.5883190506811555,98
PPD,P3,24,7,-0.7145555240217337,-0.7320674946329226,-0.6242041891196081,98
PR,P1,17,6,-0.36280964808801197,-0.4799972485117629,-0.2575186042560519,98
PR,P2,20,6,-0.30875402065871294,-0.4773827476021265,-0.15853774390715125,98
PR,P3,24,6,-0.22610513378250036,-0.4780955839628089,-0.021191365913211132,98
PREP,P3,24,1,0.8420725260731807,0.8420725260731807,0.8420725260731807,98
PRI,P1,17,1,-0.7096095975241605,-0.7096095975241605,-0.7096095975241605,98
PRI,P2,20,1,-0.7017864364196291,-0.7017864364196291,-0.7017864364196291,98
PRI,P3,24,1,-0.6913555549469212,-0.6913555549469212,-0.6913555549469212,98
PRO,P2,20,1,-0.8476326046262015,-0.8476326046262015,-0.8476326046262015,98
PRO,P3,24,1,-0.8827442533318861,-0.8827442533318861,-0.8827442533318861,98
PS,P1,17,18,-0.6609393486306887,-0.6976310727079789,-0.6254403920985442,98
PS,P2,20,18,-0.6541297307677323,-0.6946553423014536,-0.6177823012768558,98
PS,P3,24,18,-0.6487699802893732,-0.6903042045129397,-0.6185708386511107,98
RD,P1,17,8,-0.7784897010400808,-0.7898730337329589,-0.7710192040963776,98
RD,P2,20,10,-0.7790694117624617,-0.8055477839250199,-0.763566824838859,98
RD,P3,24,10,-0.7608031719045865,-0.7920650858427514,-0.7449477873226502,98
RN,P1,17,34,0.6800794868718268,0.6120095744319431,0.7085125233267404,98
RN,P2,20,36,0.6289941894062141,0.5862813515801573,0.6776314081459218,98
RN,P3,24,33,0.5721425126882937,0.4980303641961723,0.6097637508673137,98
UDI,P1,17,30,0.7165809886585053,0.6320959938925366,0.7694842405765084,98
UDI,P2,20,31,0.6614527531064401,0.6087503665468728,0.7792092860816351,98
UDI,P3,24,30,0.6349850489411988,0.5316298807777678,0.8057716423958837,98
COMUNES,P1,17,2,-0.9010932473579856,-0.9054450078553734,-0.8967414868605978,99
COMUNES,P2,20,1,-0.8596371752305573,-0.8596371752305573,-0.8596371752305573,99
COMUNES,P3,24,1,-0.7927577177342852,-0.7927577177342852,-0.7927577177342852,99
DC,P1,17,15,-0.1888525913072851,-0.30104261255119813,-0.09238102098217402,99
DC,P2,20,14,-0.15503613028453178,-0.237058753888297,0.010182271190037475,99
DC,P3,24,14,-0.09784265554081512,-0.17942490472651135,0.12675362089051334,99
EVOP,P1,17,6,0.6571123015019339,0.6280841882037907,0.6887290443077263,99
EVOP,P2,20,6,0.6896636121133289,0.6486819928636084,0.724732360293723,99
EVOP,P3,24,6,0.7098747743819713,0.6546649716394204,0.7581258942631692,99
FRVS,P1,17,1,-0.7196444137634495,-0.7196444137634495,-0.7196444137634495,99
FRVS,P2,20,1,-0.681319423376068,-0.681319423376068,-0.681319423376068,99
FRVS,P3,24,1,-0.6302194361928913,-0.6302194361928913,-0.6302194361928913,99
IND,P1,17,13,-0.5910227826920443,-0.8275389436016748,-0.17598627853105492,99
IND,P2,20,11,-0.5504693029590133,-0.651618150793251,-0.05626987785325479,99
IND,P3,24,11,-0.6310707112063332,-0.7636925119791371,0.0858603877545782,99
LIBERAL,P1,17,2,-0.6806582438380208,-0.6905131047580577,-0.6708033829179838,99
LIBERAL,P2,20,2,-0.6230035669001146,-0.642996847600538,-0.6030102861996911,99
LIBERAL,P3,24,2,-0.5461306643162407,-0.5796418380571797,-0.5126194905753018,99
PC,P1,17,8,-0.8565302372195434,-0.8637908395848078,-0.8441725656240212,99
PC,P2,20,8,-0.855929538230974,-0.8612269630920368,-0.8480653028160029,99
PC,P3,24,8,-0.8555059910036686,-0.8639121318609171,-0.8435990699424416,99
PCS,P2,20,2,-0.8195705607138973,-0.8301811767194767,-0.808959944708318,99
PCS,P3,24,1,-0.7868445905173063,-0.7868445905173063,-0.7868445905173063,99
PEV,P1,17,1,-0.9458933965511913,-0.9458933965511913,-0.9458933965511913,99
PEV,P2,20,1,-0.9172609957690009,-0.9172609957690009,-0.9172609957690009,99
PEV,P3,24,1,-0.8790844613927465,-0.8790844613927465,-0.8790844613927465,99
PH,P1,17,3,-0.9289836683820979,-0.9408624495989081,-0.926684446526612,99
PH,P2,20,2,-0.902801492551865,-0.9143007498352494,-0.8913022352684805,99
PH,P3,24,2,-0.8709575539188685,-0.896256339676442,-0.845658768161295,99
PPD,P1,17,6,-0.6167080648841107,-0.6947155153116417,-0.594519796117545,99
PPD,P2,20,7,-0.5902212678115784,-0.6678561353408687,-0.573751888358987,99
PPD,P3,24,7,-0.6239923599834788,-0.7085459935809051,-0.5828140054654913,99
PR,P1,17,6,-0.36579584629768025,-0.48916481924638666,-0.24724201641726354,99
PR,P2,20,6,-0.3056091914783673,-0.4775025545085866,-0.14018200164145045,99
PR,P3,24,6,-0.21149236024411683,-0.45501888912060284,0.002564684726299893,99
PREP,P3,24,1,0.9445658666751747,0.9445658666751747,0.9445658666751747,99
PRI,P1,17,1,-0.7195800712323448,-0.7195800712323448,-0.7195800712323448,99
PRI,P2,20,1,-0.7060412588048749,-0.7060412588048749,-0.7060412588048749,99
PRI,P3,24,1,-0.6879895089015813,-0.6879895089015813,-0.6879895089015813,99
PRO,P2,20,1,-0.8457434305635176,-0.8457434305635176,-0.8457434305635176,99
PRO,P3,24,1,-0.8272422288184044,-0.8272422288184044,-0.8272422288184044,99
PS,P1,17,18,-0.6547606039177891,-0.6844112167321411,-0.6220667419339319,99
PS,P2,20,18,-0.6456979724505052,-0.6650598980622248,-0.6098631732145047,99
PS,P3,24,18,-0.6305418762999617,-0.6416543350433155,-0.589604464065179,99
RD,P1,17,8,-0.7589155034861642,-0.7707073639116194,-0.7484161419498166,99
RD,P2,20,10,-0.7415481188728191,-0.7753126589544633,-0.7293143110811782,99
RD,P3,24,10,-0.721120050968471,-0.7592309753981403,-0.7101312581108494,99
RN,P1,17,34,0.6788623862779426,0.6262477785946475,0.7195250377532332,99
RN,P2,20,36,0.6802377573481898,0.6168737418295185,0.7337508210901416,99
RN,P3,24,33,0.6558003960934021,0.5588954054807149,0.741615861944751,99
UDI,P1,17,30,0.728407187088456,0.6600498622733526,0.7882724327849145,99
UDI,P2,20,31,0.6916461281503241,0.6546943575733274,0.820552068353113,99
UDI,P3,24,30,0.7509852547953597,0.6257277747734165,0.8717678785194626,99
COMUNES,P1,17,2,-0.8823467181847923,-0.8977154438731891,-0.8669779924963954,100
COMUNES,P2,20,1,-0.8604264418759944,-0.8604264418759944,-0.8604264418759944,100
COMUNES,P3,24,1,-0.7902161382952045,-0.7902161382952045,-0.7902161382952045,100
DC,P1,17,15,-0.1626952750092216,-0.2865484142574002,-0.07438229428468861,100
DC,P2,20,14,-0.15906237187671696,-0.2505128502739007,-0.008634203046313235,100
DC,P3,24,14,-0.12875916981023466,-0.21449344738580123,0.0389953197771406,100
EVOP,P1,17,6,0.6521258893236699,0.5967906113120407,0.7025278280004305,100
EVOP,P2,20,6,0.6597119414845929,0.5979486711167619,0.6939235678815753,100
EVOP,P3,24,6,0.649974296147952,0.5354562497876537,0.7161954254619668,100
FRVS,P1,17,1,-0.7463618610927105,-0.7463618610927105,-0.7463618610927105,100
